Date : 2024-03-27 22:08:12
Directory : d:\Project\Java\Springboot_Vue_Mall
Total : 659 files,  36486 codes, 1051 comments, 3498 blanks, all 41035 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                     | language        | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\Project\Java\Springboot_Vue_Mall\.idea\Springboot_Vue_Mall.iml                                                                                            | XML             |          9 |          0 |          0 |          9 |
| d:\Project\Java\Springboot_Vue_Mall\.idea\compiler.xml                                                                                                       | XML             |         18 |          0 |          0 |         18 |
| d:\Project\Java\Springboot_Vue_Mall\.idea\encodings.xml                                                                                                      | XML             |         11 |          0 |          0 |         11 |
| d:\Project\Java\Springboot_Vue_Mall\.idea\inspectionProfiles\Project_Default.xml                                                                             | XML             |          6 |          0 |          0 |          6 |
| d:\Project\Java\Springboot_Vue_Mall\.idea\jarRepositories.xml                                                                                                | XML             |         20 |          0 |          0 |         20 |
| d:\Project\Java\Springboot_Vue_Mall\.idea\misc.xml                                                                                                           | XML             |         15 |          0 |          0 |         15 |
| d:\Project\Java\Springboot_Vue_Mall\.idea\modules.xml                                                                                                        | XML             |          8 |          0 |          0 |          8 |
| d:\Project\Java\Springboot_Vue_Mall\.idea\uiDesigner.xml                                                                                                     | XML             |        124 |          0 |          0 |        124 |
| d:\Project\Java\Springboot_Vue_Mall\.idea\vcs.xml                                                                                                            | XML             |          6 |          0 |          0 |          6 |
| d:\Project\Java\Springboot_Vue_Mall\README.md                                                                                                                | Markdown        |         30 |          0 |          8 |         38 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\compiler.xml                                                                                               | XML             |         18 |          0 |          0 |         18 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\encodings.xml                                                                                              | XML             |          8 |          0 |          0 |          8 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\jarRepositories.xml                                                                                        | XML             |         35 |          0 |          0 |         35 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__antlr_antlr_2_7_7.xml                                                                     | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__backport_util_concurrent_backport_util_concurrent_3_1.xml                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__ch_qos_logback_logback_classic_1_2_6.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__ch_qos_logback_logback_core_1_2_6.xml                                                     | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__classworlds_classworlds_1_1_alpha_2.xml                                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__cn_hutool_hutool_all_5_7_3.xml                                                            | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_alibaba_druid_1_2_2.xml                                                               | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_alipay_sdk_alipay_easysdk_2_2_1.xml                                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_alipay_sdk_easysdk_kernel_1_0_11.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_aliyun_tea_1_1_13.xml                                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_3_4_2.xml                                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_annotation_3_4_1.xml                                            | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_boot_starter_3_4_2.xml                                          | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_core_3_4_1.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_extension_3_4_1.xml                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_generator_3_4_1.xml                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_classmate_1_5_1.xml                                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_annotations_2_12_5.xml                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_core_2_12_5.xml                                        | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_databind_2_12_5.xml                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_datatype_jackson_datatype_jdk8_2_12_5.xml                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_datatype_jackson_datatype_jsr310_2_12_5.xml                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_module_jackson_module_parameter_names_2_12_5.xml                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_github_jsqlparser_jsqlparser_3_2.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_code_findbugs_jsr305_3_0_2.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_code_gson_gson_2_8_8.xml                                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_errorprone_error_prone_annotations_2_3_2.xml                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_guava_failureaccess_1_0_1.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_guava_guava_28_1_jre.xml                                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_guava_listenablefuture_9999_0_empty_to_avoid_conflict_with_guava.xml           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_j2objc_j2objc_annotations_1_3.xml                                              | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_ibm_icu_icu4j_63_1.xml                                                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_jayway_jsonpath_json_path_2_5_0.xml                                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_puppycrawl_tools_checkstyle_8_19.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_squareup_okhttp3_okhttp_3_14_9.xml                                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_squareup_okio_okio_1_17_2.xml                                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_thoughtworks_qdox_qdox_2_0_M10.xml                                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_vaadin_external_google_android_json_0_0_20131108_vaadin1.xml                          | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_zaxxer_HikariCP_4_0_3.xml                                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_beanutils_commons_beanutils_1_9_4.xml                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_chain_commons_chain_1_1.xml                                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_codec_commons_codec_1_15.xml                                                      | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_collections_commons_collections_3_2_1.xml                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_digester_commons_digester_1_6.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_io_commons_io_2_5.xml                                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_lang_commons_lang_2_1.xml                                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_logging_commons_logging_1_0_4.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__commons_validator_commons_validator_1_3_1.xml                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__dom4j_dom4j_1_1.xml                                                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__info_picocli_picocli_3_9_5.xml                                                            | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__io_jsonwebtoken_jjwt_0_9_1.xml                                                            | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__io_swagger_swagger_annotations_1_5_20.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__jakarta_activation_jakarta_activation_api_1_2_2.xml                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__jakarta_annotation_jakarta_annotation_api_1_3_5.xml                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__jakarta_validation_jakarta_validation_api_2_0_2.xml                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__jakarta_xml_bind_jakarta_xml_bind_api_2_3_3.xml                                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__javax_activation_javax_activation_api_1_2_0.xml                                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__javax_annotation_javax_annotation_api_1_3_2.xml                                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__javax_xml_bind_jaxb_api_2_3_1.xml                                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__junit_junit_4_13_2.xml                                                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__mysql_mysql_connector_java_8_0_26.xml                                                     | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__net_bytebuddy_byte_buddy_1_10_22.xml                                                      | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__net_bytebuddy_byte_buddy_agent_1_10_22.xml                                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__net_minidev_accessors_smart_2_4_7.xml                                                     | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__net_minidev_json_smart_2_4_7.xml                                                          | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__net_sf_saxon_Saxon_HE_9_9_1_2.xml                                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_antlr_antlr4_runtime_4_7_2.xml                                                        | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_commons_commons_compress_1_19.xml                                              | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_commons_commons_lang3_3_12_0.xml                                               | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_commons_commons_pool2_2_9_0.xml                                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_httpcomponents_httpclient_4_5_13.xml                                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_httpcomponents_httpcore_4_4_14.xml                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_logging_log4j_log4j_api_2_14_1.xml                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_logging_log4j_log4j_to_slf4j_2_14_1.xml                                        | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_doxia_doxia_core_1_2.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_doxia_doxia_decoration_model_1_4.xml                                     | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_doxia_doxia_integration_tools_1_6.xml                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_doxia_doxia_logging_api_1_4.xml                                          | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_doxia_doxia_module_fml_1_4.xml                                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_doxia_doxia_module_xhtml_1_4.xml                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_doxia_doxia_sink_api_1_4.xml                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_doxia_doxia_site_renderer_1_4.xml                                        | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_aether_provider_3_0.xml                                            | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_archiver_3_5_0.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_artifact_3_0.xml                                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_artifact_manager_2_2_1.xml                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_core_3_0.xml                                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_model_3_0.xml                                                      | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_model_builder_3_0.xml                                              | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_plugin_api_3_0.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_plugin_descriptor_2_2_1.xml                                        | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_plugin_registry_2_2_1.xml                                          | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_profile_2_2_1.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_project_2_2_1.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_repository_metadata_3_0.xml                                        | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_settings_3_0.xml                                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_settings_builder_3_0.xml                                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_maven_toolchain_2_2_1.xml                                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugin_tools_maven_plugin_annotations_3_5.xml                            | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugins_maven_checkstyle_plugin_3_1_0.xml                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugins_maven_javadoc_plugin_3_2_0.xml                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugins_maven_source_plugin_3_2_1.xml                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugins_maven_surefire_plugin_2_22_0.xml                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_reporting_maven_reporting_api_3_0.xml                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_reporting_maven_reporting_impl_2_3.xml                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_shared_maven_artifact_transfer_0_10_1.xml                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_shared_maven_common_artifact_filters_3_0_0.xml                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_shared_maven_invoker_3_0_0.xml                                           | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_shared_maven_shared_utils_0_6.xml                                        | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_surefire_maven_surefire_common_2_22_0.xml                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_surefire_surefire_api_2_22_0.xml                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_surefire_surefire_booter_2_22_0.xml                                      | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_surefire_surefire_logger_api_2_22_0.xml                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_wagon_wagon_provider_api_2_4.xml                                         | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_cache_1_6_0.xml                                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_config_core_1_6_0.xml                                              | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_config_ogdl_1_6_0.xml                                              | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_core_1_6_0.xml                                                     | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_crypto_cipher_1_6_0.xml                                            | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_crypto_core_1_6_0.xml                                              | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_crypto_hash_1_6_0.xml                                              | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_event_1_6_0.xml                                                    | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_lang_1_6_0.xml                                                     | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_spring_1_6_0.xml                                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_spring_boot_starter_1_6_0.xml                                      | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_spring_boot_web_starter_1_6_0.xml                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_shiro_shiro_web_1_6_0.xml                                                      | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_struts_struts_core_1_3_8.xml                                                   | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_struts_struts_taglib_1_3_8.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_struts_struts_tiles_1_3_8.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_tomcat_embed_tomcat_embed_core_9_0_53.xml                                      | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_tomcat_embed_tomcat_embed_el_9_0_53.xml                                        | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_tomcat_embed_tomcat_embed_websocket_9_0_53.xml                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_velocity_velocity_1_5.xml                                                      | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_velocity_velocity_engine_core_2_0.xml                                          | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_velocity_velocity_tools_2_0.xml                                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apiguardian_apiguardian_api_1_1_0.xml                                                 | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_assertj_assertj_core_3_19_0.xml                                                       | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_bouncycastle_bcprov_jdk15on_1_64.xml                                                  | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_checkerframework_checker_qual_2_8_1.xml                                               | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_codehaus_mojo_animal_sniffer_annotations_1_18.xml                                     | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_codehaus_plexus_plexus_archiver_4_2_1.xml                                             | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_codehaus_plexus_plexus_classworlds_2_2_3.xml                                          | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_codehaus_plexus_plexus_component_annotations_1_7_1.xml                                | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_codehaus_plexus_plexus_container_default_1_0_alpha_9.xml                              | XML             |         13 |          0 |          0 |         13 |
| d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_codehaus_plexus_plexus_i18n_1_0_beta_7.xml                                            | XML             |         13 |          0 |          0 |         13 |
